x,y,z,time_board
0.08600000000000001,-0.088,1.032,1728952554.498523
0.08600000000000001,-0.088,1.032,1728952554.4985328
0.08600000000000001,-0.088,1.032,1728952554.4985433
0.08600000000000001,-0.088,1.032,1728952554.4985528
0.08600000000000001,-0.088,1.032,1728952554.4985623
0.08600000000000001,-0.088,1.032,1728952554.4985719
0.088,-0.084,1.036,1728952554.4985812
0.088,-0.084,1.036,1728952554.498592
0.088,-0.084,1.036,1728952554.4986017
0.088,-0.084,1.036,1728952554.4986176
0.088,-0.084,1.036,1728952554.4986277
0.088,-0.084,1.036,1728952554.4986372
0.088,-0.084,1.036,1728952554.4986467
0.088,-0.084,1.036,1728952554.4986565
0.088,-0.084,1.036,1728952554.4986656
0.088,-0.084,1.036,1728952554.498675
0.092,-0.082,1.032,1728952554.4986846
0.092,-0.082,1.032,1728952554.498694
0.092,-0.082,1.032,1728952554.97739
0.092,-0.082,1.032,1728952554.9774644
0.092,-0.082,1.032,1728952554.9774785
0.092,-0.082,1.032,1728952554.9774923
0.092,-0.082,1.032,1728952554.977512
0.092,-0.082,1.032,1728952554.9775503
0.092,-0.082,1.032,1728952554.9775536
0.092,-0.082,1.032,1728952554.977557
0.09,-0.074,1.026,1728952554.9775603
0.09,-0.074,1.026,1728952554.9775636
0.09,-0.074,1.026,1728952554.9775672
0.09,-0.074,1.026,1728952554.9775703
0.09,-0.074,1.026,1728952554.9777515
0.09,-0.074,1.026,1728952554.9777555
0.09,-0.074,1.026,1728952554.9777591
0.09,-0.074,1.026,1728952554.9777627
0.09,-0.074,1.026,1728952554.9777675
0.09,-0.074,1.026,1728952554.9777708
0.08600000000000001,-0.078,1.026,1728952554.9777744
0.08600000000000001,-0.078,1.026,1728952554.977778
0.08600000000000001,-0.078,1.026,1728952554.9777815
0.08600000000000001,-0.078,1.026,1728952554.9777853
0.08600000000000001,-0.078,1.026,1728952554.9777892
0.08600000000000001,-0.078,1.026,1728952554.9777927
0.08600000000000001,-0.078,1.026,1728952554.9778016
0.08600000000000001,-0.078,1.026,1728952554.9778051
0.08600000000000001,-0.078,1.026,1728952554.977816
0.08600000000000001,-0.078,1.026,1728952554.97782
0.094,-0.08,1.03,1728952554.9778264
0.094,-0.08,1.03,1728952554.9778297
0.094,-0.08,1.03,1728952554.9778328
0.094,-0.08,1.03,1728952554.9778428
0.094,-0.08,1.03,1728952554.977846
0.094,-0.08,1.03,1728952554.9778504
0.094,-0.08,1.03,1728952554.9778535
0.094,-0.08,1.03,1728952554.977857
0.094,-0.08,1.03,1728952554.9778607
0.094,-0.08,1.03,1728952554.9778645
0.092,-0.084,1.034,1728952554.977868
0.092,-0.084,1.034,1728952554.9778717
0.092,-0.084,1.034,1728952554.9778752
0.092,-0.084,1.034,1728952554.9778788
0.092,-0.084,1.034,1728952554.9778829
0.092,-0.084,1.034,1728952554.9778864
0.092,-0.084,1.034,1728952554.9778905
0.092,-0.084,1.034,1728952554.9778938
0.092,-0.084,1.034,1728952554.9778972
0.092,-0.084,1.034,1728952554.9779005
0.08600000000000001,-0.078,1.034,1728952554.977904
0.08600000000000001,-0.078,1.034,1728952554.9779084
0.08600000000000001,-0.078,1.034,1728952554.9779117
0.08600000000000001,-0.078,1.034,1728952554.9779153
0.08600000000000001,-0.078,1.034,1728952554.9779189
0.08600000000000001,-0.078,1.034,1728952554.977923
0.08600000000000001,-0.078,1.034,1728952554.9779267
0.08600000000000001,-0.078,1.034,1728952554.9779308
0.08600000000000001,-0.078,1.034,1728952554.9779353
0.08600000000000001,-0.078,1.034,1728952554.9779398
0.094,-0.08,1.032,1728952554.9779437
0.094,-0.08,1.032,1728952554.9779475
0.094,-0.08,1.032,1728952554.977952
0.094,-0.08,1.032,1728952554.9779558
0.094,-0.08,1.032,1728952554.9779594
0.094,-0.08,1.032,1728952554.9779632
0.094,-0.08,1.032,1728952554.9779668
0.094,-0.08,1.032,1728952554.97797
0.094,-0.08,1.032,1728952554.9779737
0.094,-0.08,1.032,1728952554.9779773
0.096,-0.078,1.034,1728952554.977981
0.096,-0.078,1.034,1728952554.977985
0.096,-0.078,1.034,1728952554.977988
0.096,-0.078,1.034,1728952554.977992
0.096,-0.078,1.034,1728952554.9779956
0.096,-0.078,1.034,1728952554.9779997
0.096,-0.078,1.034,1728952554.9780035
0.096,-0.078,1.034,1728952554.9780076
0.096,-0.078,1.034,1728952554.9780116
0.096,-0.078,1.034,1728952554.9780157
0.096,-0.074,1.036,1728952554.9780197
0.096,-0.074,1.036,1728952554.9780235
0.096,-0.074,1.036,1728952554.9780276
0.096,-0.074,1.036,1728952554.9780319
0.096,-0.074,1.036,1728952554.978036
0.096,-0.074,1.036,1728952554.9780397
0.096,-0.074,1.036,1728952554.9780445
0.096,-0.074,1.036,1728952554.9780483
0.096,-0.074,1.036,1728952554.978052
0.096,-0.074,1.036,1728952554.9780557
0.094,-0.08,1.034,1728952554.9780593
0.094,-0.08,1.034,1728952554.9780629
0.094,-0.08,1.034,1728952554.978066
0.094,-0.08,1.034,1728952554.9780693
0.094,-0.08,1.034,1728952554.978073
0.094,-0.08,1.034,1728952554.9780765
0.094,-0.08,1.034,1728952554.9780805
0.094,-0.08,1.034,1728952554.9780853
0.094,-0.08,1.034,1728952554.978089
0.094,-0.08,1.034,1728952554.9780931
0.096,-0.076,1.03,1728952554.9780972
0.096,-0.076,1.03,1728952554.9781015
0.096,-0.076,1.03,1728952554.9781055
0.096,-0.076,1.03,1728952554.9781091
0.096,-0.076,1.03,1728952554.978113
0.096,-0.076,1.03,1728952554.9781165
0.096,-0.076,1.03,1728952554.97812
0.096,-0.076,1.03,1728952554.9781237
0.096,-0.076,1.03,1728952554.9781272
0.096,-0.076,1.03,1728952554.9781306
0.084,-0.078,1.028,1728952554.978134
0.084,-0.078,1.028,1728952554.9781375
0.084,-0.078,1.028,1728952554.978141
0.084,-0.078,1.028,1728952554.978145
0.084,-0.078,1.028,1728952554.9781485
0.084,-0.078,1.028,1728952554.9781525
